Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2020-06-01,284.26995849609375,284.31643547907555,279.2801623805331,282.49518428384243,2894000
2020-06-02,284.62298583984375,286.28626023766043,280.3672662626358,283.9446602602653,2756800
2020-06-03,283.7310485839844,288.16331960913834,281.30582335205474,286.05404713411207,4360000
2020-06-04,276.9757385253906,282.91333617088014,273.45409329455913,281.7146610315575,4374300
2020-06-05,289.77081298828125,292.0287605253513,279.2243950576497,282.476592670634,5554300
2020-06-08,287.5685729980469,293.47826618310404,286.12829725208115,286.7880490881474,4635500
2020-06-09,287.3176574707031,290.5141047734156,285.5707585544641,287.9588071443634,3061500
2020-06-10,284.10260009765625,288.3397453563167,281.41720132106946,287.06674723721926,3296100
2020-06-11,263.6416931152344,281.8818491687595,260.9191179710724,281.8818491687595,6638900
2020-06-12,264.9612121582031,273.2775584109286,258.96789284059474,270.07180903024494,5416800
2020-06-15,266.0111999511719,266.68022464553485,254.33115682567126,258.33600392374615,4494600
2020-06-16,272.2554016113281,276.50184932266563,267.08905564452624,274.5226502277707,4245400
2020-06-17,271.8836669921875,274.20666478200985,270.6106687404699,274.20666478200985,2538000
2020-06-18,270.843017578125,271.12176602063164,266.30852053393863,269.8673413155283,2926600
2020-06-19,271.7855529785156,276.71285498399317,271.47760906275556,274.7624675733922,5172800
2020-06-22,273.12005615234375,273.4280000721569,267.1382319824264,270.4324316632466,2174100
2020-06-23,277.720703125,279.2884744206784,271.62689998253325,274.3705139894918,4023400
2020-06-24,269.8631286621094,277.2540950387169,266.494285844241,274.3518243633868,3399900
2020-06-25,276.43280029296875,276.9553905726304,266.9514747520538,269.02318210322466,3112500
2020-06-26,267.71673583984375,276.7687694127915,266.7275449532191,275.42498603093554,5043200
2020-06-29,270.4044494628906,272.75610676178997,267.4741833678455,269.18195789507286,2356700
2020-06-30,275.24774169921875,276.6475436841701,268.44469607822276,269.2939126999119,2932900
2020-07-01,277.84197998046875,280.33361102503244,275.5182898236613,276.0688750675126,2303800
2020-07-02,278.33660888671875,282.83461718601177,277.3287356067473,280.426970535487,1971700
2020-07-06,282.5826110839844,283.21718097067736,279.33506113832163,282.75992156394807,2395000
2020-07-07,276.8341064453125,283.2825295995075,276.1808827489876,280.57625204835995,2075700
2020-07-08,278.429931640625,280.7722760627056,275.9289589427081,277.487417674951,1987400
2020-07-09,271.7109680175781,278.60731269602013,268.29544691072414,275.3877844205222,3061700
2020-07-10,271.77618408203125,274.58510020791323,267.9220587345456,274.58510020791323,2391600
2020-07-13,279.6896667480469,284.17836132806605,272.28004844992466,272.5786796081091,4263300
2020-07-14,287.9112243652344,289.04973096995275,276.89012045648735,277.91664747369913,4234900
2020-07-15,283.75848388671875,289.93627101646894,278.7098621877529,281.0055290698961,5116900
2020-07-16,286.6327209472656,290.08557651462365,282.90925755752727,284.6356853412063,3844500
2020-07-17,286.05413818359375,290.1975534348494,285.7928430091469,288.44313077254714,3016500
2020-07-20,283.1893310546875,287.98600063515767,282.181485923336,286.29690812786856,2375500
2020-07-21,284.7291564941406,286.4929213738482,282.8627530975683,284.6545128890623,2340200
2020-07-22,286.22216796875,286.4088196237714,281.64948721116593,284.4957398364561,1935800
2020-07-23,282.7320251464844,287.8926276735617,281.1455713981558,287.6126786492902,2367700
2020-07-24,280.6976318359375,283.9544953157406,279.24184006118605,283.06794267385294,2415700
2020-07-27,278.6539306640625,281.9481303123687,277.50608274345166,278.49527390272465,2060500
